,,,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",10,,Catalan,0,,,,,IEEE Transactions on Engineering Management,5,,,,,,,,Nanyang Technological University,3,,,,,,,,,,,,,,Natural Sciences and Engineering Research Council of Canada,3,,Arts and Humanities,6,,,,,Katharina Bürger,1,,,,,,,,BioMed Central,6,,,,,,,,Brazil,16,,Interdisciplinary Research,13,,Huong Lan Thi Nguyen,4,,,,,,,,Management and Reproducibility of Scientific Workflows,7,,Peking University,6,,peer-review,0,
,,,Energies,9,,Arabic,0,,,,,Journal of Informetrics,5,,,,,,,,Norwegian University of Science and Technology,3,,,,,,,,,,,,,,H2020 Marie Skłodowska-Curie Actions,3,,Mathematics,6,,,,,Janez Dolšak,1,,,,,,,,University of Oxford,4,,,,,,,,Saudi Arabia,15,,Relevance,13,,Zhen Liu,3,,,,,,,,Radiomics in Medical Imaging Analysis,7,,National Research Council,6,,standard,0,
,,,Data Archiving and Networked Services (DANS),9,,Persian,0,,,,,Frontiers in Oncology,5,,,,,,,,Symbiosis International University,3,,,,,,,,,,,,,,"Ministerio de Ciencia, Innovación y Universidades",2,,Earth and Planetary Sciences,3,,,,,Maria Alzira Pimenta Dinis,1,,,,,,,,De Gruyter,4,,,,,,,,Sweden,14,,Learning Analytics,12,,Yantong Wan,3,,,,,,,,Computational Text Analysis in Social Sciences,7,,Institut des Sciences de l'Information et de leurs Interactions,6,,erratum,0,
,,,PLoS ONE,8,,Swedish,0,,,,,Heliyon,5,,,,,,,,University of Bristol,3,,,,,,,,,,,,,,Deutsche Forschungsgemeinschaft,2,,Energy,3,,,,,Rupali Tajanpure,1,,,,,,,,Institute of Advanced Engineering and Science (IAES),4,,,,,,,,Denmark,12,,Pandemic,12,,Zefeng Shen,3,,,,,,,,Internet of Things and Edge Computing,6,,Huazhong University of Science and Technology,6,,grant,0,
,,,MDPI (MDPI AG),8,,Ukrainian,0,,,,,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,5,,,,,,,,University of Chinese Academy of Sciences,3,,,,,,,,,,,,,,Agence Nationale de la Recherche,2,,Materials Science,2,,,,,Giancarlo Ruffo,1,,,,,,,,Sumy State University,4,,,,,,,,Japan,12,,Resilience,12,,Alan L. Porter,3,,,,,,,,Detection and Management of Retinal Diseases,6,,Sapienza University of Rome,6,,supplementary-materials,0,
,,,Duo Research Archive (University of Oslo),8,,Czech,0,,,,,Quantitative Science Studies,5,,,,,,,,University of Coimbra,3,,,,,,,,,,,,,,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,2,,Chemistry,1,,,,,Luís Madureira,1,,,,,,,,IOS Press,3,,,,,,,,Malaysia,12,,Scientific Workflows,12,,Huayi Wu,3,,,,,,,,Biomedical Ontologies and Text Mining,6,,Politecnico di Milano,6,,retraction,0,
,,,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),8,,Romanian,0,,,,,Applied Sciences,5,,,,,,,,Sapienza University of Rome,3,,,,,,,,,,,,,,Bundesministerium für Bildung und Forschung,2,,Immunology and Microbiology,1,,,,,Ying Huang,1,,,,,,,,Palgrave Macmillan,3,,,,,,,,Norway,12,,Business Intelligence,11,,Silvio Peroni,3,,,,,,,,Diversity and Function of Gut Microbiome,5,,Leibniz University Hannover,5,,,,
,,,Sensors,7,,Croatian,0,,,,,Remote Sensing,5,,,,,,,,University College Dublin,2,,,,,,,,,,,,,,Chinese Academy of Sciences,2,,Nursing,1,,,,,Ru Ding,1,,,,,,,,EDP Sciences,3,,,,,,,,South Africa,12,,Deep Learning,11,,Abderahman Rejeb,3,,,,,,,,Empirical Studies in Software Engineering,5,,University of Lisbon,5,,,,
,,,Technological Forecasting and Social Change,7,,Norwegian,0,,,,,Frontiers in Neuroscience,4,,,,,,,,Karlsruhe Institute of Technology,2,,,,,,,,,,,,,,Ministry of Education,2,,"Pharmacology, Toxicology and Pharmaceutics",1,,,,,Anna Ambrosini,1,,,,,,,,Association for Computing Machinery,3,,,,,,,,Colombia,11,,Thematic map,11,,Yassine Himeur,3,,,,,,,,Modeling the Dynamics of COVID-19 Pandemic,5,,Johns Hopkins University,5,,,,
,,,Electronics,7,,Danish,0,,,,,Frontiers in Immunology,4,,,,,,,,Universidad de Valladolid,2,,,,,,,,,,,,,,China Postdoctoral Science Foundation,2,,Dentistry,1,,,,,Max Kleinebrahm,1,,,,,,,,Nature Portfolio,3,,,,,,,,"Korea, Republic of",11,,Educational Data Mining,10,,Weihua Yang,3,,,,,,,,Conceptualizing the Circular Economy and Sustainable Supply Chains,5,,Duy Tan University,5,,,,
,,,Journal of Medical Internet Research,6,,Afrikaans,0,,,,,JMIR Medical Informatics,4,,,,,,,,Warsaw University of Technology,2,,,,,,,,,,,,,,Javna Agencija za Raziskovalno Dejavnost RS,2,,Chemical Engineering,0,,,,,Pantea Foroudi,1,,,,,,,,Macmillan Publishers,3,,,,,,,,Pakistan,11,,Publication,10,,Jianqiu Kong,3,,,,,,,,Information Visualization and Visual Data Mining,5,,Universidad de Granada,5,,,,
,,,Frontiers in Public Health,6,,Finnish,0,,,,,Mathematics,4,,,,,,,,Jiangsu University,2,,,,,,,,,,,,,,China Scholarship Council,2,,Veterinary,0,,,,,Hui Liang,1,,,,,,,,SAGE Publishing,3,,,,,,,,Singapore,11,,Value (mathematics),10,,Віталія Койбічук,3,,,,,,,,Enhancing Workplace Safety Culture and Practices,5,,King Abdulaziz University,5,,,,
,,,Frontiers in Research Metrics and Analytics,6,,Modern Greek (1453-),0,,,,,Big Data and Cognitive Computing,4,,,,,,,,Tongji University,2,,,,,,,,,,,,,,Vysoká Škola Ekonomická v Praze,2,,,,,,,,Dalia Perkumienė,1,,,,,,,,University of the Basque Country,3,,,,,,,,"Iran, Islamic Republic of",10,,Cancer Imaging,9,,Simone Angioni,3,,,,,,,,Building Information Modeling in Construction Industry,5,,University of Toronto,5,,,,
,,,Buildings,6,,Vietnamese,0,,,,,Computers in Industry,4,,,,,,,,Fujian University of Traditional Chinese Medicine,2,,,,,,,,,,,,,,Qatar National Research Fund,2,,,,,,,,Daniel A. Hickman,1,,,,,,,,Oxford University Press,2,,,,,,,,Austria,9,,Collaboration Patterns,9,,Damian A. Tamburri,2,,,,,,,,Electricity Price and Load Forecasting Methods,5,,Hanoi Medical University,5,,,,
,,,Virtual Community of Pathological Anatomy (University of Castilla La Mancha),6,,Estonian,0,,,,,Cancers,3,,,,,,,,Wrocław University of Science and Technology,2,,,,,,,,,,,,,,Engineering and Physical Sciences Research Council,2,,,,,,,,Adam Sadowski,1,,,,,,,,Science and Information Organization,2,,,,,,,,Switzerland,9,,Data Sharing,9,,Tim van Erp,2,,,,,,,,Predicting Stock Market Trends and Movements,5,,The Open University,5,,,,
,,,Archivio istituzionale della ricerca (Alma Mater Studiorum Università di Bologna),6,,Hungarian,0,,,,,Journal of Manufacturing Systems,3,,,,,,,,Universidad Complutense de Madrid,2,,,,,,,,,,,,,,Biotechnology and Biological Sciences Research Council,2,,,,,,,,Shadi Atalla,1,,,,,,,,Chinese Academy of Sciences,2,,,,,,,,Greece,9,,Decision Support Systems,9,,Ayyoob Sharifi,2,,,,,,,,Building Resilient Supply Chain,5,,Institut National Polytechnique de Toulouse,5,,,,
,,,IRIS Research product catalog (Sapienza University of Rome),6,,Tagalog,0,,,,,Frontiers in Cardiovascular Medicine,3,,,,,,,,Ural Federal University,2,,,,,,,,,,,,,,European Research Council,2,,,,,,,,Pranab K. Muhuri,1,,,,,,,,Growing Science,2,,,,,,,,Hong Kong,9,,Educational Technology,9,,Zeshi Chen,2,,,,,,,,Dynamics of Crowdfunding and Fintech,5,,University of Cambridge,5,,,,
,,,Artificial Intelligence Review,5,,Slovenian,0,,,,,ISPRS International Journal of Geo-Information,3,,,,,,,,University of Padua,2,,,,,,,,,,,,,,European Regional Development Fund,2,,,,,,,,John G. Keogh,1,,,,,,,,AOSIS,2,,,,,,,,Russian Federation,9,,Emerging Technologies,9,,John R. Kitchin,2,,,,,,,,Semantic Web and Ontology Development,4,,Symbiosis International University,5,,,,
,,,IEEE Transactions on Engineering Management,5,,Lithuanian,0,,,,,SSRN Electronic Journal,3,,,,,,,,Army Medical University,2,,,,,,,,,,,,,,National Science Foundation of Sri Lanka,2,,,,,,,,Tianxin Lin,1,,,,,,,,Rutgers University Press,2,,,,,,,,Finland,8,,Representation,9,,Jieyan Wang,2,,,,,,,,Deep Learning in Medical Image Analysis,4,,Sumy State University,5,,,,
,,,Journal of Informetrics,5,,Welsh,0,,,,,E3S Web of Conferences,3,,,,,,,,University of Cartagena,2,,,,,,,,,,,,,,Fundamental Research Funds for the Central Universities,2,,,,,,,,Satish Kumar,1,,,,,,,,Vilnius University,2,,,,,,,,United Arab Emirates,6,,Research Data,9,,Pranab K. Muhuri,2,,,,,,,,Evolution of Service-Dominant Logic in Marketing Science,4,,Trường ĐH Nguyễn Tất Thành,5,,,,
,,,Frontiers in Oncology,5,,Thai,0,,,,,Humanities and Social Sciences Communications,3,,,,,,,,Aston University,2,,,,,,,,,,,,,,Institute of Museum and Library Services,1,,,,,,,,Sonia Arroyo Esteban,1,,,,,,,,Vilnius Gediminas Technical University,2,,,,,,,,Czechia,6,,Scientific Impact,9,,Tianxin Lin,2,,,,,,,,Graph Neural Network Models and Applications,4,,UNSW Sydney,5,,,,
,,,Heliyon,5,,Slovak,0,,,,,Business Ethics and Leadership,3,,,,,,,,University of Oslo,2,,,,,,,,,,,,,,Alfred P. Sloan Foundation,1,,,,,,,,Muhammad Azam,1,,,,,,,,"Association of Food Technology, Turkey",2,,,,,,,,Ireland,6,,Transformative Learning,9,,Ioannis Passas,2,,,,,,,,Explainable Artificial Intelligence,4,,Central China Normal University,5,,,,
,,,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,5,,Bulgarian,0,,,,,Cuadernos de Gestión,3,,,,,,,,King Abdulaziz University,2,,,,,,,,,,,,,,Cisco Systems,1,,,,,,,,Francesca Noardo,1,,,,,,,,BMJ,2,,,,,,,,Peru,6,,2019-20 coronavirus outbreak,8,,Andreas Hamm,2,,,,,,,,Artificial Intelligence in Service Industry,4,,National University Hospital,5,,,,
,,,Quantitative Science Studies,5,,Latvian,0,,,,,International Journal of Production Research,3,,,,,,,,Yonsei University,2,,,,,,,,,,,,,,Louisiana Board of Regents,1,,,,,,,,Zhen Liu,1,,,,,,,,Thieme Medical Publishers (Germany),2,,,,,,,,Ukraine,6,,Conceptual framework,8,,Andrea Appolloni,2,,,,,,,,Swarm Intelligence Optimization Algorithms,3,,University of Coimbra,5,,,,
,,,Applied Sciences,5,,,0,,,,,Research in International Business and Finance,3,,,,,,,,Escuela Superior Politecnica del Litoral,2,,,,,,,,,,,,,,Stiftelsen för Miljöstrategisk Forskning,1,,,,,,,,Núria Bautista‐Puig,1,,,,,,,,De Gruyter Open,2,,,,,,,,Viet Nam,6,,Empirical Research,8,,Jaesun Yeom,2,,,,,,,,Computational Methods in Drug Discovery,3,,Cranfield University,5,,,,
,,,Electronic Sumy State University Institutional Repository (Sumy State University),5,,Swahili (macrolanguage),0,,,,,Frontiers in Psychiatry,3,,,,,,,,Stellenbosch University,2,,,,,,,,,,,,,,Tulane University,1,,,,,,,,Giovanni Colavizza,1,,,,,,,,Dove Medical Press,2,,,,,,,,Belgium,5,,Knowledge Sharing,8,,Hai Thanh Phan,2,,,,,,,,Economic Impact of Environmental Policies and Resources,3,,Tsinghua University,5,,,,
,,,Institutional Repository of the University of Granada (University of Granada),5,,Somali,0,,,,,Journal of Business Research,3,,,,,,,,China-Japan Friendship Hospital,2,,,,,,,,,,,,,,Grainger Foundation,1,,,,,,,,Joanna Rosak-Szyrocka,1,,,,,,,,Georg Thieme Verlag,2,,,,,,,,Mexico,5,,Load Forecasting,8,,Haiyin Deng,2,,,,,,,,Lithium-ion Battery Management in Electric Vehicles,3,,Karlsruhe Institute of Technology,4,,,,
,,,OPAL (Open@LaTrobe) (La Trobe University),5,,Macedonian,0,,,,,Quality & Quantity,2,,,,,,,,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),2,,,,,,,,,,,,,,Velux Fonden,1,,,,,,,,Anna Ermolayeva,1,,,,,,,,International University of La Rioja,2,,,,,,,,Tunisia,5,,Popularity,8,,Maria Grazia Izzo,2,,,,,,,,Privacy-Preserving Techniques for Data Analysis and Machine Learning,3,,Iscte – Instituto Universitário de Lisboa,4,,,,
,,,Econstor (Econstor),5,,Albanian,0,,,,,Cluster Computing,2,,,,,,,,Chengdu University of Technology,2,,,,,,,,,,,,,,Technische Universität Kaiserslautern,1,,,,,,,,Junaid Shuja,1,,,,,,,,Makerere University,1,,,,,,,,"Taiwan, Province of China",5,,Similarity (geometry),8,,Benoît Montreuil,2,,,,,,,,Analysis of Gene Interaction Networks,3,,Jiangnan University,4,,,,
,,,ScholarSpace (University of Hawaii at Manoa),5,,Hindi,0,,,,,Multimedia Tools and Applications,2,,,,,,,,Beijing University of Technology,2,,,,,,,,,,,,,,Norges Teknisk-Naturvitenskapelige Universitet,1,,,,,,,,Koel Roychowdhury,1,,,,,,,,Association Œconomia,1,,,,,,,,Chile,4,,Big Data,7,,Haoran Xie,2,,,,,,,,3D Geospatial Modelling Techniques,3,,University of Rome Tor Vergata,4,,,,
,,,INDIGO (University of Illinois at Chicago),5,,Hebrew,0,,,,,International Journal on Digital Libraries,2,,,,,,,,Central China Normal University,2,,,,,,,,,,,,,,Karlsruhe Institute of Technology,1,,,,,,,,Simon Taisbak,1,,,,,,,,Institute of Physics,1,,,,,,,,Hungary,4,,Digitization,7,,Karim Rejeb,2,,,,,,,,Digital Mental Health Interventions and Efficacy,3,,Tongji University,4,,,,
,,,Remote Sensing,5,,Urdu,0,,,,,Frontiers in Aging Neuroscience,2,,,,,,,,Gazi Hastanesi,2,,,,,,,,,,,,,,Universidad de Málaga,1,,,,,,,,Shahab S. Band,1,,,,,,,,University of Cambridge,1,,,,,,,,Indonesia,4,,Discipline,7,,Ji‐Bum Chung,2,,,,,,,,Mass Customization and Product Modularity,3,,Universidad Complutense de Madrid,4,,,,
,,,Frontiers in Neuroscience,4,,Nepali (macrolanguage),0,,,,,Procedia Computer Science,2,,,,,,,,L3S Research Center,2,,,,,,,,,,,,,,University of Hull,1,,,,,,,,Sai Koneru,1,,,,,,,,Cambridge University Press,1,,,,,,,,Jordan,4,,Feature (linguistics),7,,Kenneth K. Gwee,2,,,,,,,,Data Sharing and Stewardship in Science,3,,University of Padua,4,,,,
,,,Frontiers in Immunology,4,,Marathi,0,,,,,Security and Communication Networks,2,,,,,,,,National Research Council,2,,,,,,,,,,,,,,Birmingham City University,1,,,,,,,,Amelia Fiske,1,,,,,,,,Cogent OA,1,,,,,,,,Qatar,4,,Information Retrieval,7,,George Q. Huang,2,,,,,,,,Understanding Human Mobility Patterns,3,,Central South University,4,,,,
,,,JMIR Medical Informatics,4,,Tamil,0,,,,,Safety Science,2,,,,,,,,Third Xiangya Hospital,2,,,,,,,,,,,,,,Foundational Questions Institute,1,,,,,,,,Helena M. Stellingwerf,1,,,,,,,,International Association for Educators and Researchers (IAER),1,,,,,,,,Slovenia,4,,Named Entity Recognition,7,,Mohamed Medhat Gaber,2,,,,,,,,Sustainable Construction and Green Building,3,,Nanchang University,4,,,,
,,,Mathematics,4,,Bengali,0,,,,,Discrete Dynamics in Nature and Society,2,,,,,,,,Qingdao University of Technology,2,,,,,,,,,,,,,,Japan Agency for Medical Research and Development,1,,,,,,,,Omid Ameri Sianaki,1,,,,,,,,Press of International Journal of Ophthalmology (IJO PRESS),1,,,,,,,,Bangladesh,3,,Online Learning,7,,Shenle Pan,2,,,,,,,,Log Analysis and System Performance Diagnosis,3,,Hong Kong Polytechnic University,4,,,,
,,,Big Data and Cognitive Computing,4,,Gujarati,0,,,,,Frontiers in Pharmacology,2,,,,,,,,University College London,2,,,,,,,,,,,,,,Fulbright Association,1,,,,,,,,Xin Wu,1,,,,,,,,São Paulo State University,1,,,,,,,,Cyprus,3,,Python,7,,Rubén Heradio,2,,,,,,,,Statistical Physics of Opinion Dynamics,3,,Loughborough University,4,,,,
,,,Scholarworks@UNIST (Ulsan National Institute of Science and Technology),4,,Malayalam,0,,,,,The International Journal of Digital Accounting Research,2,,,,,,,,Huazhong University of Science and Technology,2,,,,,,,,,,,,,,Taishan Scholar Foundation of Shandong Province,1,,,,,,,,Hongyang Jiang,1,,,,,,,,Associação Brasileira de Engenharia de Produção,1,,,,,,,,Ecuador,3,,Sentiment Analysis,7,,Songül Tolan,2,,,,,,,,Knowledge Management and Organizational Innovation,2,,University of Illinois Urbana-Champaign,4,,,,
,,,AIS Electronic Library (AISeL) (Association for Information Systems),4,,Kannada,0,,,,,Mobile Information Systems,2,,,,,,,,Ulsan National Institute of Science and Technology,2,,,,,,,,,,,,,,Comunidad de Madrid,1,,,,,,,,Arash Najmaei,1,,,,,,,,Tutor Treinamento e Desenvolvimento,1,,,,,,,,Egypt,3,,Smart Cities,7,,Xieling Chen,2,,,,,,,,Multi-Criteria Decision Making,2,,Sun Yat-sen University,4,,,,
,,,Dialnet (Universidad de la Rioja),4,,Telugu,0,,,,,Automation in Construction,2,,,,,,,,University of Turin,2,,,,,,,,,,,,,,Netherlands eScience Center,1,,,,,,,,Sebastián Molinillo,1,,,,,,,,VTSIOM,1,,,,,,,,Nigeria,3,,Smart Manufacturing,7,,Mattia Zaffaroni,2,,,,,,,,Pathophysiology of Parkinson's Disease,2,,Universitat de València,4,,,,
,,,KTH Publication Database DiVA (KTH Royal Institute of Technology),4,,Panjabi,0,,,,,Materials,2,,,,,,,,China Jiliang University,2,,,,,,,,,,,,,,Innovative Research Group Project of the National Natural Science Foundation of China,1,,,,,,,,Abdo Hassoun,1,,,,,,,,Athabasca University Press,1,,,,,,,,New Zealand,3,,Supply Chain Network Design,7,,Shanshan Yang,2,,,,,,,,Prostate Cancer Research and Treatment,2,,Tianjin University,4,,,,
,,,Repository KITopen (Karlsruhe Institute of Technology),4,,,,,,,,Symmetry,2,,,,,,,,Southern Medical University,2,,,,,,,,,,,,,,"Consejería de Economía, Conocimiento, Empresas y Universidad, Junta de Andalucía",1,,,,,,,,Fabian Braesemann,1,,,,,,,,kassel university press,1,,,,,,,,Thailand,3,,Time line,7,,Riccardo Patriarca,2,,,,,,,,Developing Evidence-Informed Supply Chain Management Knowledge,2,,Beijing University of Chinese Medicine,4,,,,
,,,Repository@Nottingham (University of Nottingham),4,,,,,,,,Entropy,2,,,,,,,,Universitat Politècnica de València,2,,,,,,,,,,,,,,University of Glasgow,1,,,,,,,,Ciriaco Andrea D’Angelo,1,,,,,,,,Copernicus Publications,1,,,,,,,,Argentina,2,,Building Information Modeling,6,,Hui Liu,2,,,,,,,,Recommender System Technologies,2,,University of Carthage,4,,,,
,,,Computers in Industry,4,,,,,,,,Scientific Reports,2,,,,,,,,Qatar University,2,,,,,,,,,,,,,,National Research Foundation,1,,,,,,,,Ilaria Pietrangeli,1,,,,,,,,European Educational Research Association,1,,,,,,,,Costa Rica,2,,Digital Health,6,,Тetyana Mayboroda,2,,,,,,,,Analysis of Brain Functional Connectivity Networks,2,,ParisTech,4,,,,
,,,Cancers,3,,,,,,,,Complexity,2,,,,,,,,Chalmers University of Technology,2,,,,,,,,,,,,,,National Research Foundation Singapore,1,,,,,,,,Natisha Dukhi,1,,,,,,,,University of Oslo Library,1,,,,,,,,Croatia,2,,Impact factor,6,,Haiyang Wu,2,,,,,,,,Coordination and Information Sharing in Supply Chains,2,,Norwegian University of Science and Technology,4,,,,
,,,Journal of Manufacturing Systems,3,,,,,,,,International Journal of Advanced Computer Science and Applications,2,,,,,,,,AGH University of Krakow,2,,,,,,,,,,,,,,Ministry of Education - Singapore,1,,,,,,,,Anne Vils Møller,1,,,,,,,,Bucharest Academy of Economic Studies,1,,,,,,,,Kuwait,2,,Industry 4.0,6,,Zaheer Allam,2,,,,,,,,Diagnosis and Treatment of Bladder Cancer,2,,University of Johannesburg,4,,,,
